Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
GRC,84,Greece,2943,Meat,5142,Food,1000 tonnes,39.07,21.82,1072,977,882,910,856,893,906,856,859,885,892,871,833,852
GRD,86,Grenada,2943,Meat,5142,Food,1000 tonnes,12.26,-61.6,5,5,6,6,6,7,7,6,6,7,6,6,6,6
GTM,89,Guatemala,2943,Meat,5142,Food,1000 tonnes,15.78,-90.23,252,269,308,309,327,339,325,366,372,388,396,409,407,424
GIN,90,Guinea,2943,Meat,5142,Food,1000 tonnes,9.95,-9.7,53,55,57,62,66,70,74,78,82,92,100,109,114,122
GNB,175,Guinea-Bissau,2943,Meat,5142,Food,1000 tonnes,11.8,-15.18,19,19,19,20,20,21,21,22,24,24,25,27,28,28
GUY,91,Guyana,2943,Meat,5142,Food,1000 tonnes,4.86,-58.93,28,24,25,28,29,27,26,30,29,33,31,32,34,35
HTI,93,Haiti,2943,Meat,5521,Feed,1000 tonnes,18.97,-72.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HTI,93,Haiti,2943,Meat,5142,Food,1000 tonnes,18.97,-72.29,112,120,132,138,122,132,128,136,139,142,161,183,189,186
HND,95,Honduras,2943,Meat,5521,Feed,1000 tonnes,15.2,-86.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HND,95,Honduras,2943,Meat,5142,Food,1000 tonnes,15.2,-86.24,157,151,185,205,218,242,241,256,266,253,253,269,262,275
HUN,97,Hungary,2943,Meat,5142,Food,1000 tonnes,47.16,19.5,964,903,989,897,914,848,853,838,811,788,708,738,719,647
ISL,99,Iceland,2943,Meat,5142,Food,1000 tonnes,64.96,-19.02,23,23,24,25,25,25,27,29,29,27,26,28,29,31
IND,100,India,2943,Meat,5142,Food,1000 tonnes,20.59,78.96,4142,4266,4387,4459,4645,4641,4756,5056,5180,5298,5282,5046,5087,4619
IDN,101,Indonesia,2943,Meat,5142,Food,1000 tonnes,-0.79,113.92,1747,1842,2085,2195,2329,2255,2504,2511,2632,2744,2964,3134,3203,3385
IRN,102,Iran (Islamic Republic of),2943,Meat,5142,Food,1000 tonnes,32.43,53.69,1574,1683,1721,1907,2017,2076,2169,2319,2250,2649,2595,2667,2525,2546
IRQ,103,Iraq,2943,Meat,5142,Food,1000 tonnes,33.22,43.68,153,159,172,102,151,203,219,301,338,487,448,601,592,664
IRL,104,Ireland,2943,Meat,5142,Food,1000 tonnes,53.41,-8.24,362,380,398,397,416,420,427,397,390,386,367,353,381,401
ISR,105,Israel,2943,Meat,5142,Food,1000 tonnes,31.05,34.85,513,563,619,634,653,667,693,688,726,699,724,747,751,736
ITA,106,Italy,2943,Meat,5521,Feed,1000 tonnes,41.87,12.57,1,1,1,0,5,0,0,0,0,3,1,0,2,1
ITA,106,Italy,2943,Meat,5142,Food,1000 tonnes,41.87,12.57,5052,5155,5132,4996,4990,4961,5023,5218,5148,5277,5414,5262,5267,5125
JAM,109,Jamaica,2943,Meat,5142,Food,1000 tonnes,18.11,-77.3,140,143,151,165,167,167,163,175,174,161,189,171,174,172
JPN,110,Japan,2943,Meat,5142,Food,1000 tonnes,36.2,138.25,5691,5641,5640,5693,5616,5932,5825,5875,5920,5831,6068,6211,6334,6287
JOR,112,Jordan,2943,Meat,5142,Food,1000 tonnes,30.59,36.24,174,181,177,183,211,209,211,246,252,247,287,307,323,326
KAZ,108,Kazakhstan,2943,Meat,5521,Feed,1000 tonnes,48.02,66.92,4,5,5,6,6,6,7,7,7,7,8,8,8,9
KAZ,108,Kazakhstan,2943,Meat,5142,Food,1000 tonnes,48.02,66.92,597,649,681,720,773,839,932,968,991,997,1050,1123,1120,1115
KEN,114,Kenya,2943,Meat,5142,Food,1000 tonnes,-0.02,37.91,382,435,468,495,506,550,596,660,676,697,681,674,621,635
KIR,83,Kiribati,2943,Meat,5142,Food,1000 tonnes,-3.37,-168.73,2,3,3,3,3,4,4,4,3,3,3,3,3,3
KWT,118,Kuwait,2943,Meat,5142,Food,1000 tonnes,29.31,47.48,150,165,151,189,228,278,228,265,287,334,301,278,267,279
KGZ,113,Kyrgyzstan,2943,Meat,5142,Food,1000 tonnes,41.2,74.77,191,192,189,178,181,176,178,174,180,195,200,199,192,178
LAO,120,Lao People's Democratic Republic,2943,Meat,5142,Food,1000 tonnes,19.86,102.5,74,80,83,94,97,100,106,110,116,122,129,130,137,143
LVA,119,Latvia,2943,Meat,5142,Food,1000 tonnes,56.88,24.6,88,93,107,120,125,133,134,140,147,138,136,142,132,125
